venue,symbol,gross_apr,pct_positive,longest_neg_streak_days,worst_7d_cumulative,days_of_history
gate,4/USDT:USDT,0.6327746025515211,0.9695780176643768,0.8333333333333334,-0.0063730000000001286,169.8333449074074
krakenfutures,ETH/USD:ETH,0.16295063470568086,0.7609523809523809,9.666666666666666,-0.02732723467083336,262.8333333333333
krakenfutures,2Z/USD:USD,0.13953036694123758,0.18304648544313978,44.0,-0.040364655093195256,259.2916666666667
bitget,10000NEX/USDT:USDT,0.10899630000000002,1.0,0.0,0.002076999999999996,16.5
bitget,1000BONK/USDC:USDC,0.10831740000000001,0.99,0.16666666666666666,0.002045999999999997,16.5
bitget,1000000MOG/USDT:USDT,0.06013740000000003,0.9,0.8333333333333334,-0.00015400000000000044,16.5
okx,A/USDT:USDT,0.05425056559601336,0.8255395683453237,1.0,-0.0003929673305950994,92.5
okx,1INCH/USDT:USDT,0.04632324796611999,0.7985611510791367,2.6666666666666665,-0.0017791768639196998,92.33333333333333
krakenfutures,BTC/USD:BTC,0.037277467925161276,0.6162285714285715,12.0,-0.0030819699695207453,364.9583333333333
bitget,ETH/USDT:USDT,0.030353400000000003,0.68,4.333333333333333,-0.0007170000000000004,33.0
gate,1INCH/USDT:USDT,0.027175323529411773,0.7725490196078432,1.6666666666666667,-0.0026359999999999995,169.6667013888889
okx,ETH/USDT:USDT,0.01895879536688003,0.6292517006802721,4.333333333333333,-0.001464058484208398,97.66666666666667
bitget,BTC/USDT:USDT,0.018658800000000003,0.66,1.0,-0.00036800000000000005,33.0
okx,BTC/USDT:USDT,0.014317374955821699,0.6054421768707483,3.3333333333333335,-0.0006389023702564002,97.66666666666667
krakenfutures,AAVE/USD:USD,-0.002288157696946311,0.4993715003999543,2.7083333333333335,-0.0048960309235632155,364.9583333333333
bitget,0G/USDT:USDT,-0.01541759999999999,0.73,1.5,-0.003018999999999999,16.5
okx,2Z/USDT:USDT,-0.08889541879765674,0.7086330935251799,4.833333333333333,-0.027447176073504703,92.5
krakenfutures,1INCH/USD:USD,-0.11610557682257228,0.3351616958061936,14.0,-0.03243645306989247,364.9583333333333
krakenfutures,AAPLX/USD:USD,-0.1532003499784294,0.49332929047907825,20.75,-0.029666119545420838,137.41666666666666
gate,2Z/USDT:USDT,-0.20096634936211974,0.5181550539744848,7.833333333333333,-0.028051,169.8333449074074
okx,0G/USDT:USDT,-0.36681394594648986,0.5953237410071942,6.833333333333333,-0.029813061376680692,92.5
gate,0G/USDT:USDT,-3.617247756521739,0.4652173913043478,2.75,-0.19409200000000013,169.79167824074074
